URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,-0.03272727272727274,0.3109090909090909,15.833333333333334,40.0,22.333333333333336,15.833333333333334,38,95,2.3473684210526318,1,7.4
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,8,7,0.183399209486166,0.4478472614342179,9.555555555555555,33.43023255813954,17.194315245478037,9.555555555555555,115,344,2.25,7,6.837209302325581
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.12402597402597405,0.39080086580086576,16.25,30.0,18.5,16.25,39,130,2.1384615384615384,1,6.823076923076923
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,22,10,0.10076641046028804,0.4110257089848926,12.703703703703704,57.434402332361515,28.05524241442609,12.703703703703704,197,343,2.740524781341108,4,7.918367346938775
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,2,0,0.10101010101010101,0.42828282828282827,7.785714285714286,42.201834862385326,19.995019659239844,7.785714285714286,46,109,2.458715596330275,1,7.220183486238532
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,-0.03272727272727274,0.3109090909090909,15.833333333333334,40.0,22.333333333333336,15.833333333333334,38,95,2.3473684210526318,1,7.4
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,8,7,0.183399209486166,0.4478472614342179,9.555555555555555,33.43023255813954,17.194315245478037,9.555555555555555,115,344,2.25,7,6.837209302325581
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.12402597402597405,0.39080086580086576,16.25,30.0,18.5,16.25,39,130,2.1384615384615384,1,6.823076923076923
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,22,10,0.10076641046028804,0.4110257089848926,12.703703703703704,57.434402332361515,28.05524241442609,12.703703703703704,197,343,2.740524781341108,4,7.918367346938775
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,21,0.19084165834165834,0.4743594866671791,10.25,54.243902439024396,25.79756097560976,10.25,556,1025,2.667317073170732,1,7.8
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,17,6,0.0707912457912458,0.38967452300785643,11.818181818181818,51.92307692307693,25.4965034965035,11.818181818181818,135,260,2.7,1,7.834615384615384
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,26,2,0.0807942057942058,0.5108891108891108,14.23076923076923,57.2972972972973,28.611226611226613,14.23076923076923,212,370,2.764864864864865,6,8.0
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,19,4,0.11103896103896103,0.4592667748917749,11.5,51.20772946859904,25.083091787439617,11.5,106,207,2.6908212560386473,4,8.154589371980677
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,12,4,0.0937272727272727,0.4486363636363636,14.533333333333333,55.5045871559633,28.01516819571866,14.533333333333333,121,218,2.706422018348624,5,8.045871559633028
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,58,16,0.0868011155511156,0.3709754828504828,11.772727272727273,46.846846846846844,23.44782964782965,11.772727272727273,364,777,2.583011583011583,10,7.688545688545688
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,7,0,-0.0018141945773524743,0.41317783094098876,11.357142857142858,39.62264150943396,20.39191374663073,11.357142857142858,63,159,2.4213836477987423,1,7.226415094339623
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,39,6,0.13468711843711845,0.44029991376145233,13.13888888888889,55.602536997885835,27.49657035470989,13.13888888888889,263,473,2.748414376321353,15,7.995771670190275
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,5,3,0.13797979797979798,0.38030303030303025,10.1,39.603960396039604,19.881584158415844,10.1,40,101,2.366336633663366,3,7.287128712871287
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,12,4,-0.0027667984189723295,0.501646903820817,13.357142857142858,48.1283422459893,24.594194041252866,13.357142857142858,90,187,2.6363636363636362,3,7.518716577540107
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,19,6,0.11829004329004328,0.34668109668109665,12.25,47.44897959183674,23.879591836734697,12.25,93,196,2.5510204081632653,2,7.224489795918367
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,8,0,0.062337662337662345,0.33636363636363636,11.833333333333334,37.32394366197183,19.66291079812207,11.833333333333334,53,142,2.380281690140845,2,6.880281690140845
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,9,1,0.09730269730269733,0.4073093573093573,13.166666666666666,50.0,25.266666666666666,13.166666666666666,79,158,2.6202531645569622,2,7.6455696202531644
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,10,1,0.0819180819180819,0.36564269064269056,12.666666666666666,36.84210526315789,19.803508771929824,12.666666666666666,56,152,2.348684210526316,2,7.243421052631579
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,14,0,0.09090909090909093,0.4134291634291634,12.166666666666666,47.26027397260274,23.770776255707762,12.166666666666666,69,146,2.5821917808219177,2,7.767123287671233
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,15,1,0.11575757575757578,0.5191919191919191,12.583333333333334,39.0728476821192,20.662472406181017,12.583333333333334,59,151,2.4834437086092715,2,7.682119205298013
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,10,7,0.170995670995671,0.5407792207792208,13.25,45.911949685534594,23.66477987421384,13.25,73,159,2.5534591194968552,2,7.339622641509434
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,9,0,0.033522727272727273,0.49090909090909085,12.416666666666666,43.624161073825505,22.41633109619687,12.416666666666666,65,149,2.4295302013422817,2,7.785234899328859
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,17,0,0.11243112947658403,0.533356290174472,16.5625,42.26415094339623,23.530660377358494,16.5625,112,265,2.3811320754716983,1,7.347169811320755
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,12,4,0.04356661856661857,0.4426647426647427,11.944444444444445,37.2093023255814,19.66149870801034,11.944444444444445,80,215,2.4232558139534883,4,7.269767441860465
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,21,4,0.11607538802660754,0.5037253397009495,10.290322580645162,41.692789968652036,20.79324501971888,10.290322580645162,133,319,2.445141065830721,1,7.322884012539185
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,8,2,0.1341897233201581,0.4697628458498024,10.9,39.44954128440367,20.13981651376147,10.9,86,218,2.4311926605504586,2,7.110091743119266
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,46,13,0.17033279220779218,0.4303571428571429,14.258064516129032,50.452488687782804,25.884221281564738,14.258064516129032,223,442,2.7013574660633486,5,7.929864253393665
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,14,2,0.1279458346531517,0.49111498257839714,12.366666666666667,27.762803234501348,16.051787960467205,12.366666666666667,103,371,2.142857142857143,1,6.743935309973046
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,19,5,0.10033670033670032,0.45081369248035913,12.294117647058824,45.45454545454545,23.099465240641713,12.294117647058824,95,209,2.5454545454545454,1,7.698564593301436
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,29,24,0.11223776223776225,0.4750874125874126,8.066666666666666,39.07910271546635,18.858307752853204,8.066666666666666,331,847,2.4285714285714284,1,7.417945690672964
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,14,19,0.06098409692159692,0.45192365504865495,8.163636363636364,39.86636971046771,19.21200242964163,8.163636363636364,179,449,2.387527839643653,2,7.080178173719377
